date_time,bike_count,place
2020-06-29 20:29:07,0,"Abbey Orchard Street, Westminster"
2020-06-30 03:26:04,11,"Soho Square , Soho"
2020-06-29 21:46:22,11,"Wellington Road, St. John's Wood"
2020-06-29 21:31:18,27,"Park Lane , Hyde Park"
2020-06-29 19:37:01,0,"Stonecutter Street, Holborn"
2020-06-29 22:39:32,10,"Gloucester Road (Central), South Kensington"
2020-06-29 23:00:36,11,"Park Road (Baker Street), The Regent's Park"
2020-06-29 22:57:35,10,"Braham Street, Aldgate"
2020-06-29 22:41:33,1,"Little Argyll Street, West End"
2020-06-29 21:33:19,16,"Lollard Street, Vauxhall"
2020-06-29 21:43:21,1,"Rochester Row, Westminster"
2020-06-30 00:43:47,16,"Bath Street, St. Luke's"
2020-06-29 17:40:36,0,"The Guildhall, Guildhall"
2020-06-29 22:12:29,2,"Baker Street, Marylebone"
2020-06-29 22:19:30,2,"Norton Folgate, Liverpool Street"
2020-06-29 23:27:38,9,"St. John Street, Finsbury"
2020-06-29 19:42:01,0,"Eaton Square, Belgravia"
2020-06-30 03:02:02,15,"Borough High Street, The Borough"
2020-06-29 19:34:00,4,"Museum of London, Barbican"
2020-06-29 18:48:52,2,"Wood Street, Guildhall"
2020-06-29 23:20:37,14,"Emperor's Gate, South Kensington"
2020-06-29 20:15:04,0,"Golden Square, Soho"
2020-06-30 00:47:47,7,"Tower Gardens , Tower"
2020-06-30 03:09:03,8,"Eversholt Street , Camden Town"
2020-06-30 03:13:02,3,"Bethnal Green Road, Shoreditch"
2020-06-29 21:50:23,18,"Derry Street, Kensington"
2020-06-29 22:49:35,8,"Wapping High Street, Wapping"
2020-06-30 02:08:55,6,"Clerkenwell Green, Clerkenwell"
2020-06-29 22:49:35,0,"Queen Victoria Street, St. Paul's"
2020-06-30 00:25:43,0,"Green Street, Mayfair"
2020-06-29 21:25:14,0,"Lambeth Road, Vauxhall"
2020-06-29 20:16:05,0,"Finsbury Square , Moorgate"
2020-06-30 00:35:46,1,"Chapel Place, Marylebone"
2020-06-29 21:39:21,4,"West Cromwell Road, Earl's Court"
2020-06-29 23:08:36,2,"Pont Street, Knightsbridge"
2020-06-30 02:07:50,41,"Kennington Cross, Kennington"
2020-06-29 20:07:04,1,"Ilchester Place, Kensington"
2020-06-30 00:02:42,5,"Vauxhall Bridge , Pimlico"
2020-06-29 23:55:41,11,"Tachbrook Street, Victoria"
2020-06-29 23:08:36,16,"Kennington Road Post Office, Oval"
2020-06-29 22:42:33,5,"Holy Trinity Brompton, Knightsbridge"
2020-06-29 21:16:13,8,"Chepstow Villas, Notting Hill"
2020-06-30 03:08:01,19,"Hampton Street, Walworth"
2020-06-30 00:31:45,3,"Bayswater Road, Hyde Park"
2020-06-29 22:01:27,24,"Waterloo Station 3, Waterloo"
2020-06-29 23:13:39,6,"Lexham Gardens, Kensington"
2020-06-30 03:15:03,29,"New Kent Road, The Borough"
2020-06-29 21:50:23,32,"Wright's Lane, Kensington"
2020-06-30 00:35:46,17,"Trebovir Road, Earl's Court"
2020-06-30 02:07:50,0,"Great Marlborough Street, Soho"
2020-06-30 01:01:47,4,"Waterloo Place, St. James's"
2020-06-30 00:39:46,11,"Guildhouse Street, Victoria"
2020-06-29 22:51:34,3,"Southampton Place, Holborn"
2020-06-30 00:56:49,1,"Sloane Avenue, Knightsbridge"
2020-06-30 00:39:46,12,"Cleveland Gardens, Bayswater"
2020-06-30 00:35:46,8,"Orsett Terrace, Bayswater"
2020-06-30 00:16:43,7,"Seville Street, Knightsbridge"
2020-06-29 22:20:30,7,"Eccleston Place, Victoria"
2020-06-29 23:21:37,18,"Argyll Road, Kensington"
2020-06-30 01:10:49,2,"Porchester Place, Paddington"
2020-06-29 23:42:38,5,"Hardwick Street, Clerkenwell"
2020-06-29 22:07:29,12,"Collingham Gardens, Earl's Court"
2020-06-29 20:24:05,3,"Sumner Place, South Kensington"
2020-06-30 00:21:44,11,"Waterloo Road, South Bank"
2020-06-30 00:56:49,8,"Strand, Strand"
2020-06-29 23:04:35,9,"Worship Street, Shoreditch"
2020-06-29 23:25:38,12,"Ashley Place, Victoria"
2020-06-30 01:02:48,12,"Warwick Square, Pimlico"
2020-06-29 21:28:19,0,"North Audley Street, Mayfair"
2020-06-29 22:39:32,6,"Belgrave Square, Belgravia"
2020-06-30 00:36:45,3,"Bell Street , Marylebone"
2020-06-29 22:45:33,18,"Riverlight North, Nine Elms"
2020-06-29 23:28:37,3,"Portland Place, Marylebone"
2020-06-29 22:32:31,11,"Alderney Street, Pimlico"
2020-06-29 23:07:37,5,"South Wharf Road, Paddington"
2020-06-29 22:04:28,3,"Queen's Gate (South), South Kensington"
2020-06-30 00:16:43,10,"Nutford Place, Marylebone"
2020-06-30 00:19:44,1,"Claremont Square, Angel"
2020-06-30 00:56:49,13,"Rampayne Street, Pimlico"
2020-06-29 21:55:23,7,"Hyde Park Corner, Hyde Park"
2020-06-29 23:47:40,5,"Wardour Street, Soho"
2020-06-29 20:18:06,6,"Bankside Mix, Bankside"
2020-06-30 00:43:47,24,"Hop Exchange, The Borough"
2020-06-30 00:00:42,4,"Milroy Walk, South Bank"
2020-06-29 20:31:08,3,"Union Street, The Borough"
2020-06-30 00:56:49,10,"Stamford Street, South Bank"
2020-06-29 23:00:36,1,"Great Tower Street, Monument"
2020-06-30 00:56:49,9,"LMU Commercial Road, Whitechapel"
2020-06-30 00:35:46,13,"Dorset Square, Marylebone"
2020-06-30 00:56:49,13,"Leman Street, Aldgate"
2020-06-29 22:59:35,4,"West Smithfield Rotunda, Farringdon"
2020-06-29 22:32:31,7,"Margery Street, Clerkenwell"
2020-06-30 01:01:47,16,"New Road 1 , Whitechapel"
2020-06-29 21:40:21,2,"Grosvenor Crescent, Belgravia"
2020-06-29 23:23:38,5,"Mallory Street, Marylebone"
2020-06-29 22:11:28,12,"Denyer Street, Knightsbridge"
